Question	Source
Tell me about yourself.	https://www.monster.com/career-advice/article/100-potential-interview-questions
What are your strengths?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What are your weaknesses?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Why do you want this job?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Where would you like to be in your career five years from now?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What's your ideal company?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What attracted you to this company?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Why should we hire you?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What did you like least about your last job?	https://www.monster.com/career-advice/article/100-potential-interview-questions
When were you most satisfied in your job?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What can you do for us that other candidates can't?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What were the responsibilities of your last position?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Why are you leaving your present job?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What do you know about this industry?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What do you know about our company?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Are you willing to relocate?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Do you have any questions for me?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What was the last project you led, and what was its outcome?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Give me an example of a time that you felt you went above and beyond the call of duty at work.	https://www.monster.com/career-advice/article/100-potential-interview-questions
Can you describe a time when your work was criticized?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Have you ever been on a team where someone was not pulling their own weight? How did you handle it?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Tell me about a time when you had to give someone difficult feedback. How did you handle it?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What is your greatest failure, and what did you learn from it?	https://www.monster.com/career-advice/article/100-potential-interview-questions
How do you handle working with people who annoy you?	https://www.monster.com/career-advice/article/100-potential-interview-questions
If I were your supervisor and asked you to do something that you disagreed with, what would you do?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What was the most difficult period in your life, and how did you deal with it?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Give me an example of a time you did something wrong. How did you handle it?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Tell me about a time where you had to deal with conflict on the job.	https://www.monster.com/career-advice/article/100-potential-interview-questions
If you were at a business lunch and you ordered a rare steak and they brought it to you well done, what would you do?	https://www.monster.com/career-advice/article/100-potential-interview-questions
If you found out your company was doing something against the law, like fraud, what would you do?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What assignment was too difficult for you, and how did you resolve the issue?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What's the most difficult decision you've made in the last two years and how did you come to that decision?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Describe how you would handle a situation if you were required to finish multiple tasks by the end of the day, and there was no conceivable way that you could finish them.	https://www.monster.com/career-advice/article/100-potential-interview-questions
What salary are you seeking?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What's your salary history?	https://www.monster.com/career-advice/article/100-potential-interview-questions
If I were to give you this salary you requested but let you write your job description for the next year, what would it say?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What are you looking for in terms of career development?	https://www.monster.com/career-advice/article/100-potential-interview-questions
How do you want to improve yourself in the next year?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What kind of goals would you have in mind if you got this job?	https://www.monster.com/career-advice/article/100-potential-interview-questions
If I were to ask your last supervisor to provide you additional training or exposure, what would she suggest?	https://www.monster.com/career-advice/article/100-potential-interview-questions
How would you go about establishing your credibility quickly with the team?	https://www.monster.com/career-advice/article/100-potential-interview-questions
How long will it take for you to make a significant contribution?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What do you see yourself doing within the first 30 days of this job?	https://www.monster.com/career-advice/article/100-potential-interview-questions
If selected for this position, can you describe your strategy for the first 90 days?	https://www.monster.com/career-advice/article/100-potential-interview-questions
How would you describe your work style?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What would be your ideal working environment?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What do you look for in terms of culture—structured or entrepreneurial?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Give examples of ideas you've had or implemented.	https://www.monster.com/career-advice/article/100-potential-interview-questions
What techniques and tools do you use to keep yourself organized?	https://www.monster.com/career-advice/article/100-potential-interview-questions
If you had to choose one, would you consider yourself a big-picture person or a detail-oriented person?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Tell me about your proudest achievement.	https://www.monster.com/career-advice/article/100-potential-interview-questions
Who was your favorite manager and why?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What do you think of your previous boss?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Was there a person in your career who really made a difference?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What kind of personality do you work best with and why?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What are you most proud of?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What do you like to do?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What are your lifelong dreams?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What do you ultimately want to become?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What is your personal mission statement?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What are three positive things your last boss would say about you?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What negative thing would your last boss say about you?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What three character traits would your friends use to describe you?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What are three positive character traits you don't have?	https://www.monster.com/career-advice/article/100-potential-interview-questions
If you were interviewing someone for this position, what traits would you look for?	https://www.monster.com/career-advice/article/100-potential-interview-questions
List five words that describe your character.	https://www.monster.com/career-advice/article/100-potential-interview-questions
Who has impacted you most in your career and how?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What is your greatest fear?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What is your biggest regret and why?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What's the most important thing you learned in school?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Why did you choose your major?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What will you miss about your present/last job?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What is your greatest achievement outside of work?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What are the qualities of a good leader? A bad leader?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Do you think a leader should be feared or liked?	https://www.monster.com/career-advice/article/100-potential-interview-questions
How do you feel about taking no for an answer?	https://www.monster.com/career-advice/article/100-potential-interview-questions
How would you feel about working for someone who knows less than you?	https://www.monster.com/career-advice/article/100-potential-interview-questions
How do you think I rate as an interviewer?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Tell me one thing about yourself you wouldn't want me to know.	https://www.monster.com/career-advice/article/100-potential-interview-questions
Tell me the difference between good and exceptional.	https://www.monster.com/career-advice/article/100-potential-interview-questions
What kind of car do you drive?	https://www.monster.com/career-advice/article/100-potential-interview-questions
There's no right or wrong answer, but if you could be anywhere in the world right now, where would you be?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What's the last book you read?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What magazines do you subscribe to?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What's the best movie you've seen in the last year?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What would you do if you won the lottery?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Who are your heroes?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What do you like to do for fun?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What do you do in your spare time?	https://www.monster.com/career-advice/article/100-potential-interview-questions
What is your favorite memory from childhood?	https://www.monster.com/career-advice/article/100-potential-interview-questions
How many times do a clock's hands overlap in a day?	https://www.monster.com/career-advice/article/100-potential-interview-questions
How would you weigh a plane without a scale?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Tell me 10 ways to use a pencil other than writing.	https://www.monster.com/career-advice/article/100-potential-interview-questions
Sell me this pencil.	https://www.monster.com/career-advice/article/100-potential-interview-questions
If you were an animal, which one would you want to be?	https://www.monster.com/career-advice/article/100-potential-interview-questions
Why is there fuzz on a tennis ball?	https://www.monster.com/career-advice/article/100-potential-interview-questions
If you could choose one superhero power, what would it be and why?	https://www.monster.com/career-advice/article/100-potential-interview-questions
If you could get rid of any one of the US states, which one would you get rid of and why?	https://www.monster.com/career-advice/article/100-potential-interview-questions
With your eyes closed, tell me step-by-step how to tie my shoes.	https://www.monster.com/career-advice/article/100-potential-interview-questions
Could you tell me about yourself and describe your background in brief?	https://hbr.org/2021/11/10-common-job-interview-questions-and-how-to-answer-them
How did you hear about this position?	https://hbr.org/2021/11/10-common-job-interview-questions-and-how-to-answer-them
What type of work environment do you prefer?	https://hbr.org/2021/11/10-common-job-interview-questions-and-how-to-answer-them
How do you deal with pressure or stressful situations?	https://hbr.org/2021/11/10-common-job-interview-questions-and-how-to-answer-them
